标题,品牌,车型,款式,车年份,购车时间,售价,首付,里程,城市
长安逸动 2023款 PLUS畅享版 蓝鲸NE 1.4T 尊贵型,长安,长安逸动,尊贵型,2023,2024,6.58,1.32万,0.41万公里,北京
长安逸动 2021款 PLUS 蓝鲸NE 1.4T GDI 双离合 尊贵版,长安,长安逸动,尊贵版,2021,2021,5.5,1.10万,6.68万公里,北京
马自达CX-4 2016款 2.0L 手自一体 两驱 蓝天品位版,马自达,马自达CX-4,蓝天品位版,2016,2017,6.0,1.20万,9.74万公里,佛山
大众ID.4 CROZZ 2021款 550km 两驱长续航PRO版,大众,大众ID.4,两驱长续航PRO版,2021,2022,14.38,2.88万,3.10万公里,贵阳
奥迪A4L 2020款 40 TFSI 豪华动感型,奥迪,奥迪A4L,TFSI,2020,2020,19.78,3.96万,5.94万公里,贵阳
哈弗H6 2012款 绿静 2.0T 手动 四驱 都市型,哈弗,哈弗H6,四驱,2012,2014,1.98,0.40万,12.72万公里,沈阳
东风风行风行SX6 2018款 1.6L 手动 豪华版,东风风行,东风风行风行SX6,豪华版,2018,2018,2.88,0.58万,7.79万公里,北京
红旗H5 2023款 2.0T 自动智联旗享版,红旗,红旗H5,自动智联旗享版,2023,2022,12.08,2.42万,2.26万公里,赤峰
日产天籁 2021款 2.0L XL 舒适版,日产,日产天籁,舒适版,2021,2022,12.28,2.46万,4.69万公里,南昌
吉利汽车吉利豪越 2022款 1.8TD 双离合 豪华型 7座,吉利汽车,吉利汽车吉利豪越,豪华型,2022,2022,9.98,1.72万,1.62万公里,苏州
大众探岳 2020款 330TSI 双离合 两驱 豪华智联版,大众,大众探岳,豪华智联版,2020,2021,13.68,2.74万,4.06万公里,深圳
宝马X2 2020款 sDrive25i 领先型M越野套装,宝马,宝马X2,sDrive25i,2020,2020,12.1,2.42万,7.35万公里,南宁
奥迪A3 2018款 30周年纪念版 Sportback 35TFSI 时尚版,奥迪,奥迪A3,时尚版,2018,2018,9.0,1.80万,5.95万公里,济宁
沃尔沃XC60 2021款 T5 四驱 智逸豪华版,沃尔沃,沃尔沃XC60,智逸豪华版,2021,2020,21.89,4.10万,4.60万公里,深圳
奥迪Q3 2017款 30 TFSI 时尚版,奥迪,奥迪Q3,时尚版,2017,2017,9.88,1.98万,6.97万公里,北京
吉利汽车吉利博越 2022款 1.8TD 双离合 智雅型,吉利汽车,吉利汽车吉利博越,双离合,2022,2022,9.18,1.52万,1.31万公里,深圳
丰田卡罗拉 2016款 双擎 1.8L CVT 精英版,丰田,丰田卡罗拉,精英版,2016,2016,6.468,1.29万,10.40万公里,佛山
东风风行菱智 2018款 M5L 1.6L 手动 舒适版 7座 国V,东风风行,东风风行菱智,国V,2018,2018,3.2,0.64万,9.37万公里,商丘
大众Polo 2016款 1.4L 自动 风尚版,大众,大众Polo,风尚版,2016,2016,4.0,0.80万,5.65万公里,邯郸
宝马5系 2019款 530Li 领先版 M运动套装,宝马,宝马5系,M运动套装,2019,2019,27.2,5.44万,4.39万公里,许昌
哈弗大狗 2021款 1.5T 两驱 马犬-旺财版,哈弗,哈弗大狗,马犬-旺财版,2021,2021,9.68,1.94万,2.31万公里,大连
东风风神奕炫 2021款 230T 双离合追影版,东风风神,东风风神奕炫,双离合追影版,2021,2021,5.18,1.04万,5.50万公里,广州
林肯MKZ 2018款 2.0T 尊享版,林肯,林肯MKZ,尊享版,2018,2019,11.96,2.39万,5.75万公里,中山
宝马2系多功能旅行车 2019款 220i 领先型,宝马,宝马2系多功能旅行车,220i,2019,2019,10.2,2.04万,5.38万公里,商丘
斯柯达柯珞克 2021款 TSI280 豪华版,斯柯达,斯柯达柯珞克,豪华版,2021,2021,9.38,1.80万,0.95万公里,宁波
荣威RX5 2021款 PLUS 330TGI 双离合国潮智享版,荣威,荣威RX5,双离合国潮智享版,2021,2022,8.2,1.64万,2.05万公里,上海
标致408 2020款 360THP 自动十周年质耀版,标致,标致408,自动十周年质耀版,2020,2021,6.68,1.34万,3.23万公里,重庆
宝马3系 2021款 325Li M运动曜夜套装,宝马,宝马3系,325Li,2021,2021,23.2,4.64万,7.64万公里,苏州
广汽传祺传祺GS8 2022款 双擎 2.0T 两驱尊贵版 7座,广汽传祺,广汽传祺传祺GS8,7座,2022,2022,15.1,3.02万,6.98万公里,沈阳
大众途岳 2019款 280TSI 双离合 两驱 豪华版 国VI,大众,大众途岳,国VI,2019,2019,10.39,2.08万,5.21万公里,宁波
现代胜达 2020款 380T 两驱豪华版,现代,现代胜达,两驱豪华版,2020,2021,11.9,2.38万,7.13万公里,郑州
哈弗H2 2014款 1.5T 手动 两驱 精英型,哈弗,哈弗H2,两驱,2014,2014,2.63,0.53万,6.58万公里,潍坊
哈弗H6 2021款 1.5T 双离合 冠军版,哈弗,哈弗H6,冠军版,2021,2021,7.58,1.52万,3.05万公里,厦门
别克凯越 2011款 1.6 LE—MT,别克,别克凯越,1.6,2011,2012,1.58,0.32万,6.80万公里,济南
别克昂科拉 2013款 1.4T GL 自动 都市领先型,别克,别克昂科拉,自动,2013,2013,3.1,0.62万,9.05万公里,西安
MINI 2016款 1.5T COOPER 手自一体 五门版,MINI,MINI,五门版,2016,2016,8.68,1.74万,6.13万公里,大连
福特福睿斯 2019款 改款 1.5L 手自一体 悦享型 国VI,福特,福特福睿斯,悦享型,2019,2020,5.08,1.02万,4.53万公里,邯郸
大众途铠 2021款 280TSI 双离合 豪华版,大众,大众途铠,豪华版,2021,2021,10.87,2.17万,1.07万公里,上海
现代伊兰特 2021款 1.5L LUX尊贵版,现代,现代伊兰特,LUX尊贵版,2021,2022,7.99,1.60万,1.86万公里,邯郸
零跑汽车零跑C11 增程版 2023款 200km 200舒享版,零跑汽车,零跑汽车零跑C11,200舒享版,2023,2024,11.78,2.36万,0.04万公里,重庆
奥迪A4L 2019款 40 TFSI 进取版 国VI,奥迪,奥迪A4L,国VI,2019,2020,16.68,3.34万,5.04万公里,西安
雪佛兰科沃兹 2016款 1.5L 手动 欣享版,雪佛兰,雪佛兰科沃兹,欣享版,2016,2017,3.06,0.61万,8.84万公里,襄阳
别克君越 2019款 28T 豪华版,别克,别克君越,豪华版,2019,2020,13.4,2.68万,2.93万公里,潍坊
奥迪A4L 2019款 40 TFSI 进取版 国VI,奥迪,奥迪A4L,国VI,2019,2020,16.68,3.34万,5.04万公里,西安
雪佛兰科沃兹 2016款 1.5L 手动 欣享版,雪佛兰,雪佛兰科沃兹,欣享版,2016,2017,3.06,0.61万,8.84万公里,襄阳
别克君越 2019款 28T 豪华版,别克,别克君越,豪华版,2019,2020,13.4,2.68万,2.93万公里,潍坊
宝马X6 2017款 xDrive28i 2.0T 手自一体,宝马,宝马X6,2.0T,2017,2017,24.0,4.80万,9.10万公里,商丘
吉利汽车吉利缤瑞 2021款 1.4T CVT 亚运版,吉利汽车,吉利汽车吉利缤瑞,亚运版,2021,2021,6.15,1.23万,5.33万公里,乌鲁木齐
本田冠道 2020款 370TURBO 自动两驱豪华版,本田,本田冠道,自动两驱豪华版,2020,2020,18.2,3.64万,4.83万公里,厦门
长安奔奔MINI 2012款 1.0L 手动 时尚版 国V,长安,长安奔奔MINI,国V,2012,2015,1.08,0.22万,1.40万公里,太原
宝马1系 2020款 125i 领先版M运动套装,宝马,宝马1系,领先版M运动套装,2020,2020,10.88,2.18万,7.13万公里,沈阳
奇瑞瑞虎3x 2020款 质享版 1.5L 手动 豪华型,奇瑞,奇瑞瑞虎3x,豪华型,2020,2020,3.73,0.75万,3.24万公里,南昌
大众途观 2013款 1.8TSI 手自一体 前驱 风尚版,大众,大众途观,风尚版,2013,2014,5.28,1.06万,5.83万公里,合肥
雪佛兰科鲁泽 2019款 Redline 320T 双离合 爽快版,雪佛兰,雪佛兰科鲁泽,爽快版,2019,2019,4.67,0.93万,2.75万公里,南昌
大众速腾 2021款 280TSI 双离合 30周年纪念版,大众,大众速腾,30周年纪念版,2021,2021,9.98,2.00万,2.94万公里,商丘
丰田雷凌 2016款 1.6G CVT 精英版,丰田,丰田雷凌,精英版,2016,2016,4.8,0.96万,6.72万公里,太原
斯柯达Yeti 2017款 TSI280 双离合 车享兄弟版,斯柯达,斯柯达Yeti,车享兄弟版,2017,2019,7.0,1.40万,7.80万公里,哈尔滨
比亚迪宋Pro 2019款 1.5TI 双离合 尊贵型,比亚迪,比亚迪宋Pro,双离合,2019,2020,6.9,1.38万,5.96万公里,济南
宝马2系旅行车 2016款 218i 1.5T 手自一体 运动设计套装,宝马,宝马2系旅行车,手自一体,2016,2017,8.07,1.61万,7.69万公里,商丘
红旗HS5 2023款 2.0T 两驱旗领Pro版,红旗,红旗HS5,两驱旗领Pro版,2023,2023,16.4,3.28万,2.91万公里,北京
Jeep指南者 2017款 200T 家享版,Jeep,Jeep指南者,家享版,2017,2017,4.8,0.96万,11.27万公里,威海
大众ID.4 CROZZ 2021款 两驱 曜夜首发版,大众,大众ID.4,曜夜首发版,2021,2021,12.3,2.46万,5.78万公里,深圳
上汽大通MAXUS大通G50 2019款 1.5TGI 双离合 精英版 7座 国V,上汽大通MAXUS,上汽大通MAXUS大通G50,国V,2019,2019,6.7,1.34万,3.71万公里,济南
本田思铂睿 2017款 混动 2.0L E-CVT 净驰版,本田,本田思铂睿,净驰版,2017,2018,10.98,2.20万,4.16万公里,北京
大众桑塔纳 2013款 1.6L 自动 风尚版,大众,大众桑塔纳,风尚版,2013,2013,2.9,0.58万,10.92万公里,西安
奔驰E级 2014款 改款 E 260 L 运动型,奔驰,奔驰E级,L,2014,2014,10.4,2.08万,13.72万公里,海口
宝马4系 2022款 425i Gran Coupe M运动曜夜 套装,宝马,宝马4系,M运动曜夜,2022,2022,32.8,6.56万,1.72万公里,惠州
奔腾B30 2016款 1.6L 手动 豪华型,奔腾,奔腾B30,手动,2016,2016,1.32,0.26万,9.16万公里,西安
红旗H5经典 2022款 经典款 1.8T 自动智联旗畅版,红旗,红旗H5经典,自动智联旗畅版,2022,2022,10.28,2.06万,0.92万公里,沈阳
坦克500 2022款 3.0T 运动版 登峰 7座,坦克,坦克500,7座,2022,2022,31.2,6.24万,0.94万公里,西安
比亚迪汉 2023款 DM-i 冠军版 1.5T 121km 前驱精英型,比亚迪,比亚迪汉,前驱精英型,2023,2024,15.5,3.10万,0.53万公里,郑州
五菱汽车五菱星辰 2021款 1.5T CVT星曜版,五菱汽车,五菱汽车五菱星辰,CVT星曜版,2021,2021,6.88,1.24万,2.69万公里,潍坊
雪佛兰科鲁兹 2013款 1.8L SE AT,雪佛兰,雪佛兰科鲁兹,SE,2013,2014,1.6,0.32万,8.15万公里,南阳
标致5008 2017款 380THP 豪华版 7座,标致,标致5008,7座,2017,2018,9.2,1.84万,5.44万公里,北京
小鹏P5 2021款 550P,小鹏,小鹏P5,2021款,2021,2022,10.78,2.16万,4.45万公里,武汉
红旗H9 2022款 2.0T 智联旗畅版,红旗,红旗H9,智联旗畅版,2022,2021,23.6,4.72万,3.37万公里,中山
铃木雨燕 2011款 1.3L 手动 时尚型,铃木,铃木雨燕,手动,2011,2012,1.3,0.26万,8.90万公里,台州
长安锐程CC 2020款 1.5T 手自一体 潮锐型,长安,长安锐程CC,手自一体,2020,2019,4.86,0.97万,7.32万公里,杭州
别克昂科威 2020款 昂科威S 652T 两驱 豪华型,别克,别克昂科威,两驱,2020,2021,14.18,2.84万,4.20万公里,潍坊
凯迪拉克CT5 2020款 28T 豪华型,凯迪拉克,凯迪拉克CT5,28T,2020,2020,16.2,3.24万,6.82万公里,北京
名爵MG6 2021款 PRO 1.5T 领潮豪华版,名爵,名爵MG6,领潮豪华版,2021,2022,7.58,1.52万,2.18万公里,济宁
奔驰C级 2021款 C 260 L 运动星耀臻藏版,奔驰,奔驰C级,运动星耀臻藏版,2021,2021,23.98,4.80万,4.51万公里,湖州
理想汽车理想ONE 2020款 增程6座版,理想汽车,理想汽车理想ONE,增程6座版,2020,2020,17.1,3.42万,5.16万公里,沈阳
斯柯达柯迪亚克 2018款 改款 TSI330 两驱 舒适版 5座,斯柯达,斯柯达柯迪亚克,5座,2018,2018,9.08,1.68万,11.07万公里,沈阳
名爵MG6 2021款 PRO 1.5T Trophy旗舰版,名爵,名爵MG6,Trophy旗舰版,2021,2023,8.58,1.72万,1.05万公里,乌鲁木齐
福特翼搏 2013款 1.5L 自动 尊贵型,福特,福特翼搏,自动,2013,2014,3.22,0.64万,14.93万公里,沈阳
腾势D9 2022款 DM-i 1040 尊贵型,腾势,腾势D9,1040,2022,2023,31.8,6.36万,1.72万公里,商丘
本田艾力绅 2022款 锐·混动 2.0L 豪华版,本田,本田艾力绅,豪华版,2022,2022,23.1,4.62万,5.20万公里,上海
宝马5系 2019款 530Li 领先版 豪华套装,宝马,宝马5系,豪华套装,2019,2019,25.9,5.18万,10.22万公里,商丘
丰田亚洲龙 2019款 双擎 2.5L E-CVT 豪华版 国VI,丰田,丰田亚洲龙,国VI,2019,2022,15.9,3.18万,4.86万公里,潍坊
别克君威 2020款 552T 精英型,别克,别克君威,552T,2020,2021,11.2,1.96万,4.55万公里,南昌
别克GL8 2023款 陆上公务舱 2.0T 豪华型 7座,别克,别克GL8,豪华型,2023,2023,23.8,4.76万,0.40万公里,赤峰
理想汽车理想L8 2023款 L8 Pro,理想汽车,理想汽车理想L8,L8,2023,2023,27.6,5.52万,2.89万公里,南阳
长安UNI-V 2023款 1.5T 尊贵型,长安,长安UNI-V,1.5T,2023,2023,9.88,1.98万,1.41万公里,广州
日产奇骏 2017款 2.0L CVT 两驱 舒适版 5座,日产,日产奇骏,5座,2017,2017,8.49,1.70万,5.66万公里,哈尔滨
本田哥瑞 2016款 1.5L CVT经典版,本田,本田哥瑞,CVT经典版,2016,2016,4.66,0.93万,3.43万公里,襄阳
日产天籁 2020款 2.0L XL 舒适版,日产,日产天籁,舒适版,2020,2020,10.38,2.08万,3.73万公里,徐州
吉利汽车吉利帝豪 2017款 百万款 1.5L 手动 向上版,吉利汽车,吉利汽车吉利帝豪,向上版,2017,2018,2.59,0.52万,3.80万公里,洛阳
奔驰SLC级 2018款 SLC 260 动感型,奔驰,奔驰SLC级,260,2018,2019,21.6,4.32万,6.76万公里,南京
特斯拉Model Y 2021款 标准续航后轮驱动版,特斯拉,特斯拉Model,标准续航后轮驱动版,2021,2021,17.98,3.60万,3.30万公里,厦门
哈弗M6 2019款 1.5T 双离合 精英型 国VI,哈弗,哈弗M6,精英型,2019,2021,5.68,1.14万,3.32万公里,哈尔滨
本田缤智 2022款 1.5L CVT 精英智享版,本田,本田缤智,精英智享版,2022,2022,9.58,1.92万,2.10万公里,柳州
大众Polo 2016款 1.4L 自动 风尚版,大众,大众Polo,风尚版,2016,2017,4.1,0.82万,7.22万公里,南昌
保时捷Macan 2020款 Macan 2.0T,保时捷,保时捷Macan,Macan,2020,2020,34.8,6.96万,6.80万公里,青岛
大众途岳 2021款 280TSI 双离合 两驱 舒适版,大众,大众途岳,舒适版,2021,2022,12.48,2.50万,1.78万公里,郑州
别克英朗 2018款 18T 手自一体 精英版 国V,别克,别克英朗,国V,2018,2018,3.98,0.80万,6.07万公里,青岛
大众速腾 2022款 280TSI 双离合飞越版,大众,大众速腾,双离合飞越版,2022,2022,10.98,2.20万,2.41万公里,石家庄
本田杰德 2020款 1.8L 自动 舒适版 5座,本田,本田杰德,5座,2020,2019,8.98,1.80万,4.03万公里,东莞
奔驰E级 2017款 E 300 L 时尚版 运动轿车,奔驰,奔驰E级,运动轿车,2017,2018,24.98,5.00万,7.64万公里,菏泽
大众探歌 2022款 280TSI R-Line Pro PLUS版,大众,大众探歌,PLUS版,2022,2023,12.0,2.40万,0.82万公里,南阳
别克昂科威 2022款 昂科威S GS 两驱 智享运动型,别克,别克昂科威,两驱,2022,2022,16.36,3.27万,1.87万公里,潍坊
比亚迪秦PLUS新能源 2021款 DM-i 55km 旗舰型,比亚迪,比亚迪秦PLUS新能源,55km,2021,2021,6.68,1.34万,3.14万公里,天津
理想汽车理想ONE 2021款 理想ONE 增程6座版,理想汽车,理想汽车理想ONE,增程6座版,2021,2021,20.57,4.11万,2.95万公里,呼和浩特
比亚迪速锐 2014款 1.5L 手动 尊贵型,比亚迪,比亚迪速锐,手动,2014,2015,1.2,0.24万,8.95万公里,厦门
雪佛兰探界者 2019款 535T 两驱 驭界版 国VI,雪佛兰,雪佛兰探界者,国VI,2019,2019,8.9,1.78万,2.91万公里,潍坊
长安CS85COUPE 2019款 1.5T 双离合 品 国VI,长安,长安CS85COUPE,品,2019,2020,5.8,1.16万,9.40万公里,沈阳
日产天籁 2020款 2.0T XL Upper AD1 智享领航版,日产,日产天籁,智享领航版,2020,2020,11.7,2.34万,5.41万公里,济南
奔腾T99 2020款 20TD 自动豪华型,奔腾,奔腾T99,20TD,2020,2020,8.06,1.61万,2.33万公里,重庆
大众凌渡 2019款 280TSI 双离合 舒适版 国VI,大众,大众凌渡,国VI,2019,2019,9.08,1.82万,4.24万公里,南京
沃尔沃S60 2018款 S60L T4 智远版,沃尔沃,沃尔沃S60,智远版,2018,2017,9.38,1.88万,2.38万公里,淄博
大众夏朗 2018款 380TSI 双离合 舒享版 7座 国VI,大众,大众夏朗,国VI,2018,2018,13.27,2.65万,3.65万公里,潍坊
本田英仕派 2022款 260TURBO 精致版,本田,本田英仕派,精致版,2022,2022,13.9,2.78万,3.49万公里,贵阳
本田缤智 2019款 220TURBO CVT 豪华版 国VI,本田,本田缤智,国VI,2019,2019,8.98,1.80万,3.25万公里,郑州
福特翼搏 2013款 1.5L 手动 尊贵型,福特,福特翼搏,手动,2013,2014,2.5,0.50万,11.53万公里,济宁
大众高尔夫 2018款 230TSI 双离合 舒适版,大众,大众高尔夫,舒适版,2018,2018,7.68,1.54万,6.02万公里,银川
丰田普拉多 2016款 2.7L 手自一体 标准版,丰田,丰田普拉多,标准版,2016,2016,23.98,4.80万,7.84万公里,郑州
众泰E200 2016款 E200,众泰,众泰E200,2016款,2016,2016,1.65,0.33万,5.38万公里,济宁
奥迪Q3 2022款 35 TFSI 时尚动感型,奥迪,奥迪Q3,TFSI,2022,2021,17.58,3.52万,2.92万公里,潍坊
别克昂科威 2021款 昂科威Plus 652T 两驱豪华型 5座,别克,别克昂科威,两驱豪华型,2021,2021,15.96,3.19万,0.99万公里,潍坊
五菱汽车五菱宏光MINIEV 2020款 自在款 三元锂,五菱汽车,五菱汽车五菱宏光MINIEV,自在款,2020,2021,2.1,0.42万,2.02万公里,银川
奥迪A4L 2018款 30周年版 40 TFSI 时尚版,奥迪,奥迪A4L,时尚版,2018,2018,14.18,2.84万,5.66万公里,潍坊
理想汽车理想ONE 2021款 理想ONE 增程6座版,理想汽车,理想汽车理想ONE,增程6座版,2021,2022,21.1,4.22万,4.89万公里,呼和浩特
哈弗H6 2021款 第三代 1.5T 两驱Max,哈弗,哈弗H6,1.5T,2021,2021,7.3,1.46万,1.40万公里,重庆
标致308 2012款 1.6L 手动 优尚型,标致,标致308,手动,2012,2012,1.18,0.24万,6.12万公里,襄阳
宝骏730 2016款 1.5L 手动 豪华版 7座,宝骏,宝骏730,7座,2016,2016,3.0,0.60万,6.96万公里,长春
本田雅阁 2015款 2.0L LX 舒适版,本田,本田雅阁,舒适版,2015,2015,7.52,1.50万,9.14万公里,临沂
DS 6 2018款 30THP 尊贵版,DS,DS,尊贵版,2018,2018,5.5,1.10万,12.72万公里,东莞
三菱欧蓝德 2017款 2.0L CVT 两驱 荣耀版 5座,三菱,三菱欧蓝德,5座,2017,2017,7.8,1.56万,8.00万公里,哈尔滨
现代ix35 2018款 2.0L 手自一体 两驱 智勇·畅享版,现代,现代ix35,智勇·畅享版,2018,2018,6.94,1.39万,1.74万公里,苏州
本田思域 2019款 220TURBO CVT 劲擎版 国V,本田,本田思域,国V,2019,2019,8.0,1.60万,4.23万公里,乌鲁木齐
本田XR-V 2021款 1.5L CVT经典版,本田,本田XR-V,CVT经典版,2021,2022,9.6,1.92万,1.00万公里,临沂
奔驰CLA级 2017款 CLA 220 4MATIC,奔驰,奔驰CLA级,220,2017,2017,13.5,2.70万,4.96万公里,南昌
哈弗H1 2015款 1.5L AMT 豪华型,哈弗,哈弗H1,AMT,2015,2015,2.63,0.53万,4.32万公里,徐州
大众帕萨特 2016款 330TSI DSG尊荣版,大众,大众帕萨特,DSG尊荣版,2016,2016,8.43,1.69万,6.82万公里,潍坊
吉利汽车吉利博越 2021款 百万款 1.8TD 双离合 两驱 舒适型,吉利汽车,吉利汽车吉利博越,两驱,2021,2020,5.76,1.15万,4.73万公里,南昌
凯迪拉克XT5 2018款 25T 两驱 豪华型,凯迪拉克,凯迪拉克XT5,两驱,2018,2019,16.98,3.40万,2.61万公里,广州
别克昂科拉 2017款 18T 手自一体 两驱 都市领先版,别克,别克昂科拉,都市领先版,2017,2017,5.35,1.07万,8.21万公里,威海
哈弗H6 2021款 国潮版 2.0GDIT 两驱冠军版,哈弗,哈弗H6,两驱冠军版,2021,2021,7.5,1.50万,4.21万公里,郑州
江淮瑞风瑞风M3 2015款 创客版 1.6L 手动 豪华版,江淮瑞风,江淮瑞风瑞风M3,豪华版,2015,2015,2.86,0.57万,10.36万公里,郑州
上汽大通MAXUS大通G20 2020款 2.0T 手自一体 豪华版 汽油,上汽大通MAXUS,上汽大通MAXUS大通G20,汽油,2020,2020,8.3,1.66万,5.63万公里,郑州
众泰E200 2018款 Pro,众泰,众泰E200,2018款,2018,2018,3.28,0.66万,0.62万公里,南宁
斯柯达明锐 2018款 1.6L 手自一体 豪华版,斯柯达,斯柯达明锐,豪华版,2018,2018,5.95,1.19万,4.03万公里,上海
现代领动 2016款 1.6L 手自一体 智炫·精英版,现代,现代领动,智炫·精英版,2016,2016,4.48,0.90万,7.30万公里,烟台
哈弗大狗 2021款 改款 2.0T 四驱哮天犬版,哈弗,哈弗大狗,四驱哮天犬版,2021,2021,10.88,2.18万,2.52万公里,邯郸
福特福克斯Active 2020款 EcoBoost 180 手自一体 劲潮型,福特,福特福克斯Active,手自一体,2020,2019,7.28,1.46万,3.94万公里,重庆
小鹏P5 2021款 小鹏汽车P5 460E+,小鹏,小鹏P5,小鹏汽车P5,2021,2022,9.18,1.84万,5.20万公里,武汉
福特蒙迪欧 2020款 EcoBoost 180 时尚型,福特,福特蒙迪欧,180,2020,2021,10.18,2.04万,1.69万公里,成都
奔腾X40 2019款 1.6L 手自一体 豪华型 国VI,奔腾,奔腾X40,豪华型,2019,2020,4.7,0.94万,3.79万公里,沧州
广汽传祺传祺GS8 2022款 2.0T 两驱豪华智联版 7座,广汽传祺,广汽传祺传祺GS8,7座,2022,2022,15.4,3.08万,2.09万公里,沧州
荣威RX5 2019款 20T 手动 两驱 4G互联铂金版,荣威,荣威RX5,4G互联铂金版,2019,2019,4.66,0.93万,3.74万公里,徐州
马自达阿特兹 2018款 2.5L  蓝天尊崇版 国V,马自达,马自达阿特兹,国V,2018,2018,9.88,1.98万,4.05万公里,赣州
奔驰C级 2019款 C 260 L 运动轿车,奔驰,奔驰C级,L,2019,2019,18.0,3.60万,4.36万公里,宁波
丰田YARiS L 致炫 2020款 1.5L CVT 豪华版,丰田,丰田YARiS,豪华版,2020,2020,5.98,1.20万,2.83万公里,昆明
特斯拉Model Y 2022款 改款 545km 后轮驱动版,特斯拉,特斯拉Model,后轮驱动版,2022,2023,21.62,4.32万,3.16万公里,呼和浩特
奇瑞瑞虎3x 2021款 钻石版 1.5L CVT 3克拉,奇瑞,奇瑞瑞虎3x,3克拉,2021,2021,4.88,0.98万,3.32万公里,烟台
一汽-大众CC 2021款 猎装车 380TSI 猎风版,大众,一汽-大众CC,猎风版,2021,2020,18.1,3.62万,2.57万公里,海口
本田雅阁 2022款 260TURBO 幻夜·尊贵版,本田,本田雅阁,幻夜·尊贵版,2022,2022,16.58,3.32万,1.65万公里,哈尔滨
奥迪A3 2018款 30周年纪念版 Limousine 35TFSI 风尚版,奥迪,奥迪A3,风尚版,2018,2018,9.78,1.96万,5.59万公里,东莞
现代途胜 2015款 1.6T 双离合 两驱 智能版,现代,现代途胜,智能版,2015,2016,6.1,1.22万,8.69万公里,沧州
别克君威 2015款 1.6T 手自一体 领先技术版,别克,别克君威,领先技术版,2015,2016,4.7,0.94万,7.59万公里,柳州
Polestar极星Polestar 2 2020款 首发版,Polestar极星,Polestar极星Polestar,首发版,2020,2021,11.68,2.34万,3.11万公里,南宁
本田思域 2019款 220TURBO CVT 劲动版 国VI,本田,本田思域,国VI,2019,2019,8.3,1.66万,3.28万公里,徐州
福特领界 2020款 领界S EcoBoost 145 CVT 铂领型,福特,福特领界,CVT,2020,2020,7.88,1.58万,1.89万公里,柳州
宝骏310W 2017款 1.5L 手动 舒适型 国V,宝骏,宝骏310W,舒适型,2017,2018,3.28,0.66万,3.04万公里,南宁
斯柯达速派 2016款 TSI280 双离合 前行版,斯柯达,斯柯达速派,前行版,2016,2019,7.38,1.48万,7.57万公里,台州
本田思域 2022款 240TURBO CVT燃动版,本田,本田思域,CVT燃动版,2022,2023,12.08,2.42万,0.50万公里,台州
奥迪Q5L 2022款 改款 45 TFSI 豪华动感型,奥迪,奥迪Q5L,TFSI,2022,2023,32.8,6.56万,1.07万公里,西安
日产逍客 2017款 2.0L CVT 豪华版 国V,日产,日产逍客,国V,2017,2019,9.68,1.94万,6.45万公里,柳州
